,,Inputs,,,Outputs,,,
Brand,Type,Fac1,Fac2,GRP,Tom,SOV,Spontan,
J,Training,-0.506,2.795,0.00,0.050,0.0000,0.050,
J,Training,-0.582,1.914,0.00,0.067,0.0000,0.025,
J,Training,0.318,0.492,0.00,0.060,0.0000,0.027,
J,Training,-0.189,0.177,0.00,0.090,0.0000,0.063,
J,Training,-1.170,0.316,0.00,0.040,0.0000,0.019,
J,Training,-0.012,0.995,0.00,0.030,0.0000,0.015,
J,Training,-0.351,0.506,0.00,0.050,0.0000,0.018,
J,Training,-0.043,1.202,0.00,0.020,0.0000,0.054,
J,Training,-0.125,0.953,0.00,0.050,0.0000,0.033,
J,Training,-0.269,0.819,0.00,0.024,0.0000,0.031,
L,Training,0.778,0.104,1017.80,0.050,0.0499,0.057,
L,Training,0.850,-0.035,1586.30,0.070,0.0644,0.047,
L,Testing,1.291,0.660,3755.85,0.050,0.1612,0.086,
L,Testing,0.754,0.083,2206.35,0.070,0.1018,0.094,
L,Testing,1.388,0.299,1888.40,0.100,0.1206,0.096,
L,Testing,1.583,0.193,2825.47,0.120,0.1283,0.060,
L,Testing,1.257,0.033,921.67,0.050,0.0580,0.091,
L,Testing,1.312,0.411,156.28,0.060,0.0181,0.084,
L,Training,1.280,0.250,2124.09,0.080,0.1301,0.066,
L,Training,1.007,0.238,2639.11,0.100,0.1226,0.059,
L,Training,0.510,0.565,1547.82,0.081,0.0928,0.059,
L,Training,0.518,0.342,2006.24,0.070,0.0905,0.081,
L,Training,0.800,-0.094,1189.85,0.067,0.0730,0.063,
L,Testing,1.241,1.909,1498.24,0.073,0.0660,0.077,
L,Testing,0.502,0.299,1370.64,0.080,0.0555,0.070,
L,Training,0.449,0.096,1628.39,0.160,0.0946,0.073,
L,Training,0.754,0.493,542.61,0.080,0.0402,0.044,
L,Training,0.978,0.649,429.31,0.080,0.0331,0.057,
L,Training,0.876,0.721,393.04,0.180,0.0293,0.028,
